Fecha;Hora;Clase de Vuelo;Clasificación Vuelo;Tipo de Movimiento;Origen OACI;Destino OACI;Aerolinea Nombre;Aeronave
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;Gol Transportes Aéreos        ;BOEING B-737   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SA31;N/A                           ;CESSNA C-152   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SCEL;SAME;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAAR;SASA;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAME;SABE;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAVV;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAME;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SACO;SABE;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;TAM Linhas Aéreas             ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SARI;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;N/A          ;Despegue  ;SARC;N/A ;N/A                           ;CESSNA C-150   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAWC;SAWH;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;KMIA;SAEZ;American Airlines             ;BOEING B-777   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAAV;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBGL;SAEZ;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAWH;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SANU;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;Gol Transportes Aéreos        ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAVC;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAZM;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SABE;SAWH;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAZN;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAZS;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SASJ;SACO;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SARI;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAVC;SAWG;LADE - Líneas Aéreas Del Estad;SAAB SF34      
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Aterrizaje;SADF;SAAR;N/A                           ;N/A N/A        
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;LFPG;SAEZ;Air France                    ;BOEING B-777   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SASA;SACO;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SCEL;SACO;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAVT;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;LEMD;SAEZ;Iberia Airlines               ;AIRBUS A-340   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;AR-0;N/A                           ;CESSNA C-150   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAZN;SABE;Norwegian Air Argentina       ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SARC;SABE;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SAEZ;SAZM;Austral Líneas Aéreas         ;EMBRAER E-190  
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SAZS;SABE;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SADP;SARI;JetSMART Airlines             ;AIRBUS A-320   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Internacional;Despegue  ;SADF;SUAA;N/A                           ;CIRRUS SR22    
3/1/2020;9;Regular                             ;Cabotaje     ;Aterrizaje;SADP;SARP;Flybondi                      ;BOEING B-737   
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SASA;SACO;Aerolíneas Argentinas         ;BOEING B-737   
3/1/2020;9;Vuelo Privado con Matrícula Nacional;Cabotaje     ;Despegue  ;SADF;SA32;N/A                           ;PIPISTREL PIVI 
3/1/2020;9;Regular                             ;Cabotaje     ;Despegue  ;SABE;SAWC;LATAM Argentina               ;AIRBUS A-320   
3/1/2020;9;Regular                             ;Internacional;Aterrizaje;SBGR;SAEZ;TAM Linhas Aéreas             ;AIRBUS A-320   
3/1/2020;10;Regular                             ;Cabotaje     ;Despegue  ;SASJ;SABE;Aerolíneas Argentinas         ;BOEING B-737   
